Factory Name,Location,Industry Types,Production Capacity,Byproduct Type,Byproduct Quantity,Byproduct Frequency,Required Byproduct,Utilization Method,Demand Scale,Frequency of Use
Factory_52,"South Africa, Johannesburg",Electronics,5622,Plastic Waste,551,Weekly,Organic Material,Composting,High,Daily
Factory_320,"UK, London",Textiles,9185,Slag,469,Monthly,Steel,Recycling,High,Daily
Factory_291,"South Africa, Johannesburg",Automotive,3916,Metal Scraps,176,Monthly,Steel,Recycling,Low,Monthly
Factory_360,"Germany, Berlin",Chemicals,4967,Slag,904,Weekly,Recycled Plastic,Recycling,Medium,Weekly
Factory_308,"Brazil, Sao Paulo",Food Processing,9725,Waste Chemicals,736,Monthly,Heat Energy,Energy Source,Low,Daily
Factory_427,"China, Shenzhen",Chemicals,1501,Heat,412,Daily,Organic Material,Raw Material,Medium,Monthly
Factory_179,"Germany, Berlin",Chemicals,7394,Waste Chemicals,852,Weekly,Heat Energy,Recycling,High,Weekly
Factory_71,"Japan, Tokyo",Electronics,8498,Plastic Waste,229,Monthly,Steel,Energy Source,Medium,Monthly
Factory_432,"India, Mumbai",Plastics,5858,Slag,651,Weekly,Bio-fuel,Composting,Low,Weekly
Factory_37,"South Africa, Johannesburg",Pharmaceuticals,7974,Waste Chemicals,14,Weekly,Recycled Plastic,Raw Material,High,Weekly
Factory_431,"India, Mumbai",Automotive,4775,Waste Chemicals,73,Monthly,Heat Energy,Composting,Low,Weekly
Factory_479,"Japan, Tokyo",Metals,3571,Metal Scraps,965,Weekly,Steel,Recycling,Low,Daily
Factory_246,"South Africa, Johannesburg",Electronics,4650,Slag,750,Daily,Bio-fuel,Recycling,Medium,Daily
Factory_116,"USA, California",Pharmaceuticals,8101,Metal Scraps,764,Daily,Organic Material,Raw Material,High,Monthly
Factory_204,"India, Mumbai",Metals,4107,Heat,409,Monthly,Silicon,Energy Source,Low,Weekly
Factory_196,"UK, London",Pharmaceuticals,236,Heat,344,Monthly,Heat Energy,Composting,High,Daily
Factory_7,"USA, California",Plastics,6789,Metal Scraps,407,Daily,Silicon,Recycling,Low,Monthly
Factory_385,"India, Mumbai",Metals,9994,Plastic Waste,962,Monthly,Steel,Raw Material,High,Monthly
Factory_426,"Germany, Berlin",Food Processing,6848,Metal Scraps,489,Weekly,Bio-fuel,Composting,High,Weekly
Factory_254,"USA, California",Plastics,887,Bio-waste,996,Daily,Steel,Raw Material,Medium,Monthly
Factory_273,"Germany, Berlin",Automotive,2408,Bio-waste,448,Daily,Heat Energy,Recycling,Medium,Daily
Factory_215,"China, Shenzhen",Food Processing,5889,Slag,779,Weekly,Bio-fuel,Energy Source,Medium,Weekly
Factory_132,"Germany, Berlin",Plastics,3456,Slag,445,Daily,Heat Energy,Recycling,High,Weekly
Factory_394,"South Africa, Johannesburg",Automotive,7150,Heat,116,Daily,Heat Energy,Raw Material,High,Daily
Factory_284,"Germany, Berlin",Pharmaceuticals,3752,Bio-waste,968,Daily,Heat Energy,Raw Material,High,Weekly
Factory_282,"USA, California",Metals,6249,Waste Chemicals,506,Daily,Heat Energy,Energy Source,High,Daily
Factory_448,"India, Mumbai",Automotive,6611,Metal Scraps,571,Daily,Heat Energy,Composting,High,Weekly
Factory_220,"Germany, Berlin",Metals,6675,Bio-waste,523,Daily,Recycled Plastic,Recycling,Low,Weekly
Factory_99,"South Africa, Johannesburg",Pharmaceuticals,8809,Waste Chemicals,182,Monthly,Silicon,Recycling,Low,Monthly
Factory_216,"China, Shenzhen",Textiles,4720,Waste Chemicals,745,Daily,Silicon,Recycling,High,Monthly
Factory_406,"Brazil, Sao Paulo",Metals,8864,Metal Scraps,247,Monthly,Recycled Plastic,Composting,High,Monthly
Factory_236,"Germany, Berlin",Pharmaceuticals,9711,Metal Scraps,613,Monthly,Organic Material,Recycling,Low,Daily
Factory_97,"USA, California",Chemicals,6115,Bio-waste,872,Monthly,Heat Energy,Energy Source,High,Daily
Factory_442,"Germany, Berlin",Chemicals,7406,Metal Scraps,993,Monthly,Heat Energy,Raw Material,Medium,Monthly
Factory_420,"UK, London",Plastics,2133,Slag,11,Weekly,Heat Energy,Raw Material,Medium,Monthly
Factory_420,"UK, London",Chemicals,7375,Slag,446,Monthly,Bio-fuel,Recycling,High,Weekly
Factory_72,"India, Mumbai",Textiles,610,Bio-waste,752,Weekly,Silicon,Energy Source,Low,Daily
Factory_499,"South Africa, Johannesburg",Food Processing,9557,Bio-waste,545,Daily,Organic Material,Energy Source,Low,Daily
Factory_113,"Brazil, Sao Paulo",Plastics,9305,Heat,474,Weekly,Organic Material,Energy Source,Medium,Weekly
Factory_282,"India, Mumbai",Plastics,7605,Waste Chemicals,735,Monthly,Recycled Plastic,Energy Source,Low,Monthly
Factory_153,"China, Shenzhen",Pharmaceuticals,6225,Plastic Waste,914,Weekly,Organic Material,Energy Source,High,Monthly
Factory_46,"UK, London",Electronics,7828,Waste Chemicals,439,Daily,Heat Energy,Composting,High,Weekly
Factory_423,"South Africa, Johannesburg",Automotive,8114,Bio-waste,200,Monthly,Steel,Composting,High,Daily
Factory_197,"India, Mumbai",Food Processing,6268,Metal Scraps,308,Daily,Recycled Plastic,Composting,Low,Monthly
Factory_439,"Japan, Tokyo",Plastics,3446,Metal Scraps,171,Monthly,Heat Energy,Recycling,Medium,Daily
Factory_124,"Germany, Berlin",Food Processing,9121,Bio-waste,189,Monthly,Silicon,Recycling,High,Daily
Factory_101,"China, Shenzhen",Metals,8743,Plastic Waste,775,Monthly,Organic Material,Energy Source,High,Weekly
Factory_481,"South Africa, Johannesburg",Textiles,9607,Plastic Waste,284,Weekly,Recycled Plastic,Raw Material,Low,Daily
Factory_196,"USA, California",Electronics,7294,Heat,47,Monthly,Heat Energy,Energy Source,High,Monthly
Factory_202,"South Africa, Johannesburg",Plastics,788,Bio-waste,290,Daily,Recycled Plastic,Recycling,Low,Monthly
Factory_209,"Brazil, Sao Paulo",Pharmaceuticals,8570,Slag,142,Monthly,Recycled Plastic,Raw Material,Medium,Monthly
Factory_179,"South Africa, Johannesburg",Automotive,8582,Slag,700,Daily,Organic Material,Recycling,Low,Daily
Factory_401,"USA, California",Chemicals,3203,Slag,221,Weekly,Organic Material,Energy Source,Medium,Daily
Factory_433,"Brazil, Sao Paulo",Plastics,9053,Heat,412,Daily,Heat Energy,Composting,Low,Weekly
Factory_315,"UK, London",Pharmaceuticals,5213,Plastic Waste,179,Monthly,Silicon,Energy Source,High,Weekly
Factory_481,"China, Shenzhen",Automotive,2153,Plastic Waste,639,Monthly,Bio-fuel,Raw Material,High,Daily
Factory_291,"USA, California",Food Processing,3068,Slag,845,Monthly,Steel,Energy Source,Low,Weekly
Factory_2,"Brazil, Sao Paulo",Electronics,3087,Slag,211,Monthly,Recycled Plastic,Recycling,Medium,Daily
Factory_144,"Japan, Tokyo",Food Processing,7571,Plastic Waste,542,Daily,Steel,Energy Source,High,Monthly
Factory_348,"Germany, Berlin",Chemicals,9633,Heat,546,Weekly,Steel,Composting,High,Daily
Factory_478,"China, Shenzhen",Plastics,7619,Metal Scraps,772,Weekly,Recycled Plastic,Recycling,Low,Daily
Factory_170,"UK, London",Electronics,8050,Waste Chemicals,241,Daily,Bio-fuel,Energy Source,Medium,Daily
Factory_320,"South Africa, Johannesburg",Electronics,2119,Heat,637,Monthly,Heat Energy,Raw Material,Medium,Daily
Factory_500,"UK, London",Metals,1475,Heat,922,Daily,Steel,Recycling,High,Monthly
Factory_242,"Germany, Berlin",Pharmaceuticals,8934,Plastic Waste,76,Weekly,Bio-fuel,Recycling,Low,Daily
Factory_296,"South Africa, Johannesburg",Food Processing,2617,Bio-waste,58,Weekly,Bio-fuel,Energy Source,Medium,Weekly
Factory_393,"USA, California",Automotive,2177,Heat,598,Daily,Heat Energy,Recycling,Medium,Weekly
Factory_443,"China, Shenzhen",Chemicals,2502,Heat,78,Daily,Heat Energy,Raw Material,Low,Monthly
Factory_451,"USA, California",Textiles,8985,Waste Chemicals,146,Monthly,Heat Energy,Composting,High,Daily
Factory_193,"Brazil, Sao Paulo",Food Processing,8217,Heat,152,Monthly,Recycled Plastic,Composting,Low,Daily
Factory_235,"USA, California",Metals,9896,Heat,43,Monthly,Organic Material,Energy Source,High,Daily
Factory_68,"South Africa, Johannesburg",Food Processing,7865,Heat,712,Daily,Recycled Plastic,Raw Material,High,Weekly
Factory_433,"South Africa, Johannesburg",Electronics,4639,Metal Scraps,111,Daily,Bio-fuel,Energy Source,High,Monthly
Factory_373,"USA, California",Chemicals,5739,Waste Chemicals,648,Weekly,Bio-fuel,Raw Material,Medium,Weekly
Factory_459,"UK, London",Plastics,2016,Plastic Waste,124,Weekly,Organic Material,Recycling,High,Weekly
Factory_171,"Germany, Berlin",Automotive,2900,Bio-waste,876,Daily,Silicon,Raw Material,Low,Weekly
Factory_108,"China, Shenzhen",Metals,7745,Plastic Waste,188,Daily,Steel,Energy Source,High,Daily
Factory_285,"UK, London",Metals,2952,Metal Scraps,127,Monthly,Recycled Plastic,Recycling,Medium,Monthly
Factory_171,"Brazil, Sao Paulo",Textiles,7934,Bio-waste,237,Weekly,Bio-fuel,Energy Source,High,Weekly
Factory_454,"South Africa, Johannesburg",Pharmaceuticals,1452,Bio-waste,664,Weekly,Steel,Recycling,Low,Weekly
Factory_93,"UK, London",Food Processing,7183,Waste Chemicals,506,Monthly,Silicon,Recycling,Low,Weekly
Factory_91,"UK, London",Electronics,2593,Plastic Waste,19,Weekly,Recycled Plastic,Raw Material,Low,Daily
Factory_188,"Brazil, Sao Paulo",Plastics,8306,Waste Chemicals,160,Monthly,Steel,Composting,Medium,Daily
Factory_417,"South Africa, Johannesburg",Plastics,6779,Heat,308,Weekly,Heat Energy,Recycling,Medium,Weekly
Factory_78,"South Africa, Johannesburg",Textiles,8758,Bio-waste,589,Monthly,Bio-fuel,Recycling,Low,Monthly
Factory_138,"China, Shenzhen",Automotive,7772,Metal Scraps,175,Weekly,Recycled Plastic,Raw Material,Medium,Daily
Factory_252,"Brazil, Sao Paulo",Textiles,3552,Slag,872,Monthly,Steel,Raw Material,Medium,Daily
Factory_1,"USA, California",Plastics,1303,Slag,631,Monthly,Bio-fuel,Raw Material,High,Weekly
Factory_56,"India, Mumbai",Chemicals,2407,Slag,869,Daily,Organic Material,Raw Material,Medium,Daily
Factory_423,"India, Mumbai",Textiles,6469,Waste Chemicals,498,Weekly,Bio-fuel,Energy Source,High,Weekly
Factory_223,"China, Shenzhen",Textiles,1043,Plastic Waste,318,Monthly,Organic Material,Composting,Medium,Weekly
Factory_149,"China, Shenzhen",Textiles,2225,Plastic Waste,915,Daily,Steel,Recycling,Low,Weekly
Factory_16,"South Africa, Johannesburg",Food Processing,119,Metal Scraps,173,Weekly,Recycled Plastic,Recycling,High,Monthly
Factory_40,"China, Shenzhen",Chemicals,625,Metal Scraps,752,Monthly,Silicon,Raw Material,High,Monthly
Factory_402,"USA, California",Metals,4130,Waste Chemicals,953,Daily,Heat Energy,Energy Source,Low,Daily
Factory_192,"India, Mumbai",Plastics,7420,Waste Chemicals,576,Weekly,Bio-fuel,Raw Material,Medium,Daily
Factory_105,"India, Mumbai",Plastics,9106,Bio-waste,513,Daily,Organic Material,Energy Source,Medium,Weekly
Factory_474,"Brazil, Sao Paulo",Textiles,7687,Plastic Waste,557,Daily,Organic Material,Raw Material,Medium,Daily
Factory_251,"Brazil, Sao Paulo",Electronics,4399,Plastic Waste,645,Daily,Heat Energy,Composting,Medium,Weekly
Factory_65,"South Africa, Johannesburg",Plastics,4323,Bio-waste,661,Daily,Organic Material,Raw Material,High,Weekly
Factory_9,"India, Mumbai",Food Processing,3672,Heat,399,Weekly,Bio-fuel,Raw Material,Medium,Daily
Factory_342,"Japan, Tokyo",Metals,4957,Waste Chemicals,874,Weekly,Recycled Plastic,Energy Source,Medium,Monthly
Factory_192,"USA, California",Textiles,3810,Plastic Waste,868,Daily,Organic Material,Composting,Medium,Daily
Factory_150,"Brazil, Sao Paulo",Automotive,8398,Bio-waste,505,Monthly,Organic Material,Composting,Medium,Weekly
Factory_315,"South Africa, Johannesburg",Textiles,384,Bio-waste,826,Monthly,Steel,Raw Material,Low,Weekly
Factory_414,"China, Shenzhen",Electronics,6858,Metal Scraps,396,Daily,Recycled Plastic,Raw Material,Medium,Monthly
Factory_179,"USA, California",Automotive,9043,Heat,490,Monthly,Organic Material,Raw Material,Low,Monthly
Factory_190,"South Africa, Johannesburg",Automotive,244,Slag,21,Monthly,Steel,Energy Source,High,Monthly
Factory_94,"South Africa, Johannesburg",Chemicals,6166,Metal Scraps,542,Weekly,Silicon,Composting,High,Monthly
Factory_255,"Japan, Tokyo",Electronics,2503,Waste Chemicals,431,Monthly,Steel,Energy Source,High,Weekly
Factory_490,"Germany, Berlin",Textiles,8315,Metal Scraps,630,Weekly,Steel,Composting,High,Daily
Factory_271,"Germany, Berlin",Plastics,3911,Bio-waste,712,Daily,Silicon,Energy Source,Medium,Monthly
Factory_307,"Brazil, Sao Paulo",Textiles,2532,Heat,987,Monthly,Recycled Plastic,Composting,High,Weekly
Factory_225,"USA, California",Pharmaceuticals,5562,Slag,997,Daily,Heat Energy,Recycling,High,Monthly
Factory_332,"India, Mumbai",Food Processing,2881,Waste Chemicals,775,Daily,Silicon,Raw Material,Medium,Monthly
Factory_472,"UK, London",Food Processing,9560,Bio-waste,873,Daily,Heat Energy,Composting,Medium,Weekly
Factory_315,"South Africa, Johannesburg",Pharmaceuticals,238,Waste Chemicals,425,Monthly,Recycled Plastic,Raw Material,Low,Weekly
Factory_192,"India, Mumbai",Metals,4504,Slag,251,Daily,Bio-fuel,Energy Source,Low,Monthly
Factory_130,"Japan, Tokyo",Electronics,3285,Plastic Waste,249,Weekly,Bio-fuel,Composting,Medium,Monthly
Factory_50,"UK, London",Metals,324,Waste Chemicals,554,Daily,Recycled Plastic,Energy Source,Low,Weekly
Factory_331,"India, Mumbai",Pharmaceuticals,758,Plastic Waste,949,Daily,Heat Energy,Raw Material,Low,Weekly
Factory_477,"India, Mumbai",Electronics,842,Bio-waste,343,Weekly,Steel,Energy Source,High,Monthly
Factory_311,"USA, California",Plastics,9487,Waste Chemicals,940,Daily,Steel,Energy Source,Low,Daily
Factory_227,"Japan, Tokyo",Automotive,4368,Plastic Waste,967,Monthly,Recycled Plastic,Composting,Medium,Weekly
Factory_76,"India, Mumbai",Chemicals,6802,Metal Scraps,466,Daily,Steel,Raw Material,Medium,Monthly
Factory_375,"Germany, Berlin",Food Processing,3849,Slag,265,Weekly,Steel,Raw Material,Low,Daily
Factory_349,"Brazil, Sao Paulo",Automotive,2494,Metal Scraps,461,Weekly,Steel,Raw Material,High,Weekly
Factory_79,"Germany, Berlin",Food Processing,3042,Bio-waste,538,Weekly,Heat Energy,Raw Material,Medium,Monthly
Factory_336,"India, Mumbai",Metals,1399,Slag,643,Weekly,Recycled Plastic,Recycling,High,Weekly
Factory_305,"USA, California",Pharmaceuticals,127,Waste Chemicals,687,Weekly,Silicon,Energy Source,Medium,Daily
Factory_140,"Japan, Tokyo",Plastics,3372,Plastic Waste,203,Daily,Steel,Raw Material,Low,Monthly
Factory_349,"South Africa, Johannesburg",Pharmaceuticals,1828,Plastic Waste,663,Daily,Heat Energy,Composting,Medium,Daily
Factory_308,"South Africa, Johannesburg",Metals,8838,Heat,71,Monthly,Recycled Plastic,Raw Material,High,Monthly
Factory_71,"Brazil, Sao Paulo",Textiles,1700,Waste Chemicals,144,Daily,Recycled Plastic,Recycling,High,Monthly
Factory_4,"Japan, Tokyo",Electronics,7397,Waste Chemicals,417,Monthly,Organic Material,Composting,High,Daily
Factory_360,"South Africa, Johannesburg",Textiles,1321,Bio-waste,809,Monthly,Silicon,Composting,Low,Monthly
Factory_468,"South Africa, Johannesburg",Food Processing,723,Plastic Waste,621,Daily,Organic Material,Raw Material,Low,Daily
Factory_290,"USA, California",Textiles,9221,Metal Scraps,470,Daily,Heat Energy,Recycling,High,Daily
Factory_485,"South Africa, Johannesburg",Chemicals,6134,Heat,540,Weekly,Bio-fuel,Raw Material,High,Monthly
Factory_364,"UK, London",Metals,6604,Plastic Waste,696,Monthly,Heat Energy,Energy Source,High,Weekly
Factory_372,"India, Mumbai",Electronics,4419,Heat,468,Monthly,Silicon,Energy Source,Low,Monthly
Factory_331,"UK, London",Food Processing,2895,Plastic Waste,255,Monthly,Recycled Plastic,Composting,Low,Monthly
Factory_365,"China, Shenzhen",Pharmaceuticals,2164,Plastic Waste,898,Monthly,Recycled Plastic,Raw Material,High,Weekly
Factory_330,"UK, London",Textiles,6252,Slag,13,Weekly,Recycled Plastic,Composting,Low,Monthly
Factory_72,"USA, California",Textiles,836,Waste Chemicals,964,Daily,Steel,Energy Source,Low,Weekly
Factory_61,"South Africa, Johannesburg",Electronics,4203,Slag,794,Monthly,Heat Energy,Raw Material,High,Monthly
Factory_447,"South Africa, Johannesburg",Textiles,6339,Slag,426,Monthly,Heat Energy,Energy Source,High,Monthly
Factory_265,"China, Shenzhen",Plastics,830,Waste Chemicals,813,Daily,Steel,Energy Source,Low,Monthly
Factory_254,"USA, California",Metals,8338,Slag,470,Daily,Steel,Recycling,Low,Daily
Factory_429,"Brazil, Sao Paulo",Electronics,5447,Metal Scraps,495,Monthly,Heat Energy,Energy Source,Medium,Daily
Factory_87,"Germany, Berlin",Metals,1394,Plastic Waste,388,Daily,Steel,Composting,Low,Daily
Factory_203,"Brazil, Sao Paulo",Automotive,6426,Plastic Waste,725,Daily,Recycled Plastic,Energy Source,Medium,Daily
Factory_175,"India, Mumbai",Chemicals,4064,Bio-waste,316,Monthly,Heat Energy,Recycling,High,Monthly
Factory_346,"South Africa, Johannesburg",Textiles,5840,Waste Chemicals,630,Daily,Steel,Recycling,Low,Monthly
Factory_396,"Brazil, Sao Paulo",Pharmaceuticals,8537,Bio-waste,837,Daily,Heat Energy,Energy Source,Low,Daily
Factory_451,"UK, London",Plastics,9783,Bio-waste,526,Daily,Bio-fuel,Raw Material,Medium,Weekly
Factory_345,"Germany, Berlin",Automotive,9241,Waste Chemicals,765,Daily,Organic Material,Recycling,High,Weekly
Factory_414,"Brazil, Sao Paulo",Automotive,8866,Plastic Waste,558,Monthly,Steel,Raw Material,High,Daily
Factory_32,"China, Shenzhen",Automotive,228,Plastic Waste,889,Weekly,Organic Material,Raw Material,High,Daily
Factory_224,"Germany, Berlin",Electronics,899,Metal Scraps,861,Daily,Steel,Raw Material,Low,Weekly
Factory_451,"Brazil, Sao Paulo",Electronics,9393,Slag,951,Daily,Heat Energy,Composting,High,Monthly
Factory_330,"UK, London",Electronics,4183,Plastic Waste,832,Monthly,Recycled Plastic,Composting,Low,Monthly
Factory_410,"Brazil, Sao Paulo",Automotive,8355,Plastic Waste,125,Weekly,Silicon,Recycling,Low,Monthly
Factory_351,"Germany, Berlin",Plastics,5286,Slag,847,Daily,Steel,Raw Material,Low,Monthly
Factory_335,"South Africa, Johannesburg",Electronics,5564,Bio-waste,772,Monthly,Organic Material,Composting,Medium,Weekly
Factory_47,"UK, London",Electronics,6149,Heat,374,Daily,Recycled Plastic,Energy Source,Low,Monthly
Factory_397,"Germany, Berlin",Electronics,341,Slag,259,Weekly,Silicon,Raw Material,Low,Weekly
Factory_116,"UK, London",Pharmaceuticals,4995,Slag,574,Daily,Heat Energy,Energy Source,Medium,Daily
Factory_373,"USA, California",Textiles,5783,Plastic Waste,460,Monthly,Heat Energy,Energy Source,Low,Daily
Factory_99,"UK, London",Metals,7557,Plastic Waste,867,Daily,Steel,Energy Source,High,Monthly
Factory_404,"China, Shenzhen",Automotive,7195,Bio-waste,799,Daily,Heat Energy,Raw Material,Low,Weekly
Factory_103,"India, Mumbai",Pharmaceuticals,6457,Slag,267,Monthly,Organic Material,Recycling,High,Monthly
Factory_4,"Japan, Tokyo",Electronics,9159,Metal Scraps,212,Daily,Silicon,Composting,High,Monthly
Factory_19,"USA, California",Plastics,2558,Slag,265,Monthly,Steel,Composting,Low,Monthly
Factory_159,"Japan, Tokyo",Pharmaceuticals,6629,Heat,91,Daily,Organic Material,Energy Source,Low,Monthly
Factory_177,"USA, California",Automotive,698,Plastic Waste,493,Daily,Heat Energy,Recycling,Medium,Daily
Factory_2,"UK, London",Food Processing,8741,Heat,696,Monthly,Silicon,Recycling,High,Daily
Factory_212,"Brazil, Sao Paulo",Electronics,7275,Metal Scraps,418,Daily,Bio-fuel,Raw Material,Medium,Monthly
Factory_430,"Brazil, Sao Paulo",Chemicals,8767,Slag,771,Daily,Steel,Raw Material,Low,Daily
Factory_264,"India, Mumbai",Textiles,688,Bio-waste,688,Monthly,Bio-fuel,Raw Material,Low,Weekly
Factory_219,"USA, California",Automotive,373,Slag,876,Monthly,Silicon,Raw Material,Medium,Monthly
Factory_365,"China, Shenzhen",Chemicals,3414,Slag,870,Daily,Organic Material,Recycling,Low,Daily
Factory_325,"Brazil, Sao Paulo",Pharmaceuticals,4925,Bio-waste,411,Daily,Heat Energy,Raw Material,Low,Monthly
Factory_76,"Brazil, Sao Paulo",Automotive,7372,Waste Chemicals,764,Daily,Heat Energy,Raw Material,Medium,Daily
Factory_203,"USA, California",Food Processing,4119,Bio-waste,283,Weekly,Bio-fuel,Raw Material,Low,Monthly
Factory_475,"China, Shenzhen",Electronics,5579,Plastic Waste,242,Daily,Organic Material,Recycling,Low,Daily
Factory_454,"UK, London",Electronics,970,Waste Chemicals,297,Weekly,Recycled Plastic,Recycling,High,Monthly
Factory_347,"Germany, Berlin",Plastics,9089,Metal Scraps,61,Weekly,Recycled Plastic,Energy Source,Medium,Monthly
Factory_37,"China, Shenzhen",Metals,7091,Metal Scraps,484,Monthly,Silicon,Composting,High,Weekly
Factory_160,"USA, California",Textiles,8014,Bio-waste,737,Weekly,Silicon,Energy Source,Low,Weekly
Factory_103,"India, Mumbai",Automotive,1014,Bio-waste,762,Weekly,Recycled Plastic,Composting,Low,Monthly
Factory_318,"Germany, Berlin",Food Processing,5979,Plastic Waste,516,Weekly,Silicon,Energy Source,High,Daily
Factory_314,"India, Mumbai",Plastics,2957,Metal Scraps,795,Monthly,Silicon,Composting,Medium,Monthly
Factory_146,"UK, London",Pharmaceuticals,2947,Slag,311,Weekly,Steel,Recycling,High,Monthly
Factory_189,"Germany, Berlin",Chemicals,3926,Waste Chemicals,312,Weekly,Silicon,Recycling,High,Monthly
Factory_479,"Brazil, Sao Paulo",Metals,1614,Slag,557,Weekly,Organic Material,Energy Source,Medium,Weekly
Factory_56,"UK, London",Textiles,2957,Plastic Waste,668,Daily,Heat Energy,Raw Material,Medium,Weekly
Factory_31,"China, Shenzhen",Plastics,6943,Heat,440,Weekly,Silicon,Energy Source,High,Daily
Factory_88,"USA, California",Automotive,4534,Slag,984,Daily,Organic Material,Raw Material,Medium,Daily
Factory_146,"Brazil, Sao Paulo",Automotive,6030,Metal Scraps,674,Daily,Steel,Raw Material,Low,Monthly
Factory_279,"Brazil, Sao Paulo",Textiles,1810,Bio-waste,174,Daily,Bio-fuel,Raw Material,Medium,Weekly
Factory_221,"Brazil, Sao Paulo",Metals,911,Heat,525,Daily,Silicon,Raw Material,High,Weekly
Factory_237,"UK, London",Plastics,8748,Metal Scraps,395,Daily,Heat Energy,Raw Material,Medium,Daily
Factory_260,"USA, California",Textiles,3517,Slag,802,Weekly,Steel,Composting,Low,Weekly
Factory_377,"Germany, Berlin",Pharmaceuticals,6210,Plastic Waste,681,Monthly,Silicon,Energy Source,Low,Daily
Factory_442,"India, Mumbai",Chemicals,7292,Bio-waste,110,Monthly,Recycled Plastic,Raw Material,High,Monthly
Factory_194,"Japan, Tokyo",Electronics,6665,Waste Chemicals,405,Monthly,Organic Material,Recycling,High,Monthly
Factory_57,"China, Shenzhen",Electronics,7884,Heat,105,Weekly,Silicon,Recycling,High,Monthly
Factory_52,"China, Shenzhen",Chemicals,3407,Metal Scraps,122,Monthly,Bio-fuel,Composting,Low,Daily
Factory_30,"Brazil, Sao Paulo",Plastics,6335,Metal Scraps,918,Daily,Heat Energy,Raw Material,Low,Weekly
Factory_49,"Brazil, Sao Paulo",Metals,4979,Waste Chemicals,401,Daily,Organic Material,Composting,Low,Daily
Factory_451,"South Africa, Johannesburg",Electronics,1307,Plastic Waste,426,Weekly,Bio-fuel,Composting,Low,Weekly
Factory_122,"China, Shenzhen",Metals,7657,Slag,62,Monthly,Steel,Composting,Medium,Weekly
Factory_167,"India, Mumbai",Electronics,5453,Slag,732,Weekly,Silicon,Composting,High,Monthly
Factory_458,"USA, California",Food Processing,9712,Waste Chemicals,411,Daily,Silicon,Recycling,Medium,Daily
Factory_143,"South Africa, Johannesburg",Automotive,2644,Bio-waste,398,Daily,Heat Energy,Composting,Medium,Monthly
Factory_461,"South Africa, Johannesburg",Electronics,9413,Slag,467,Weekly,Organic Material,Recycling,Medium,Monthly
Factory_192,"USA, California",Plastics,9175,Plastic Waste,965,Monthly,Steel,Energy Source,High,Daily
Factory_486,"UK, London",Chemicals,3548,Heat,632,Weekly,Bio-fuel,Energy Source,High,Monthly
Factory_343,"China, Shenzhen",Food Processing,4359,Bio-waste,637,Weekly,Heat Energy,Recycling,Low,Monthly
Factory_390,"Japan, Tokyo",Electronics,2586,Slag,371,Daily,Recycled Plastic,Energy Source,High,Weekly
Factory_81,"Japan, Tokyo",Plastics,4994,Metal Scraps,13,Monthly,Organic Material,Composting,Low,Monthly
Factory_240,"Japan, Tokyo",Plastics,3505,Heat,816,Daily,Organic Material,Recycling,High,Daily
Factory_10,"South Africa, Johannesburg",Electronics,7971,Plastic Waste,592,Daily,Silicon,Recycling,Low,Daily
Factory_106,"India, Mumbai",Automotive,9918,Waste Chemicals,378,Daily,Heat Energy,Composting,Medium,Weekly
Factory_323,"USA, California",Electronics,5221,Slag,860,Weekly,Recycled Plastic,Energy Source,Medium,Weekly
Factory_204,"South Africa, Johannesburg",Textiles,1002,Slag,838,Daily,Bio-fuel,Recycling,High,Monthly
Factory_6,"UK, London",Textiles,610,Metal Scraps,857,Monthly,Silicon,Raw Material,High,Weekly
Factory_453,"Brazil, Sao Paulo",Automotive,8496,Heat,914,Monthly,Bio-fuel,Recycling,High,Monthly
Factory_61,"UK, London",Electronics,7969,Slag,890,Weekly,Organic Material,Energy Source,Medium,Weekly
Factory_43,"India, Mumbai",Food Processing,4016,Slag,180,Daily,Organic Material,Energy Source,Medium,Monthly
Factory_138,"China, Shenzhen",Electronics,1592,Slag,217,Weekly,Heat Energy,Recycling,Low,Daily
Factory_211,"USA, California",Food Processing,791,Slag,53,Weekly,Silicon,Energy Source,Medium,Weekly
Factory_469,"Brazil, Sao Paulo",Pharmaceuticals,1943,Plastic Waste,677,Daily,Bio-fuel,Energy Source,Low,Weekly
Factory_422,"South Africa, Johannesburg",Electronics,4717,Slag,149,Monthly,Organic Material,Energy Source,High,Monthly
Factory_482,"Japan, Tokyo",Automotive,805,Waste Chemicals,491,Weekly,Recycled Plastic,Recycling,Low,Daily
Factory_66,"Japan, Tokyo",Plastics,5908,Slag,592,Daily,Steel,Raw Material,Medium,Daily
Factory_56,"South Africa, Johannesburg",Textiles,3166,Waste Chemicals,416,Daily,Heat Energy,Raw Material,Low,Monthly
Factory_101,"Germany, Berlin",Plastics,7717,Metal Scraps,562,Weekly,Recycled Plastic,Raw Material,Low,Daily
Factory_156,"Brazil, Sao Paulo",Metals,5564,Waste Chemicals,392,Daily,Heat Energy,Composting,Medium,Weekly
Factory_384,"Japan, Tokyo",Pharmaceuticals,5784,Waste Chemicals,452,Weekly,Heat Energy,Raw Material,Low,Daily
Factory_392,"Germany, Berlin",Chemicals,8637,Plastic Waste,849,Weekly,Heat Energy,Recycling,Medium,Monthly
Factory_429,"Brazil, Sao Paulo",Food Processing,7456,Metal Scraps,622,Daily,Bio-fuel,Recycling,Low,Monthly
